Complaint Text,Category
Because we never recd Cancelled Flightlation notice we were left w no options to fly out of PS Driving to LA for a red eye Mon w kids,Cancelled Flight
trying to book a flight amp your site is down,Flight Booking Problems
You have any flights flying into Boston tomorrow I need to be home and you Cancelled Flightled my flight and didnt do anything,Cancelled Flight
you stink Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook disappointed expected better,Cancelled Flight
Your website is down and Im trying to check in,Customer Service Issue
seats in Row dont recline should mention that on your website soreback,Bad Flight
flight delayed hours in LA due to mechanical problems Handle like pros but you could have tossed us a free drink,Late Flight
why Cancelled Flight flights today No precipitation to be scared of,Cancelled Flight
You guys charged me to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it Whats the deal,Cancelled Flight
cant access your website from Safari on iPhone Seems to work on Mac and iPad Need iPhone to add Passbook,Customer Service Issue
your mobile site is broken shows headerelevateUsernumOfPointsAvailable number Points wont let me checkin,Customer Service Issue
I was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin,Cancelled Flight
why Cancelled Flight flight VX One sec its delayed on my to airport the next its Cancelled FlightledGonna email or call me to reschedule,Cancelled Flight
I did it but there was a problem in the link from the email for checkin thanks,Customer Service Issue
had to change to another airline to get to DC today Why is able to land in DC but not you Cost me ugh,Flight Booking Problems
I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one,Cancelled Flight
hold times at call center are a bit much,Customer Service Issue
Site down help,Flight Booking Problems
Trying to reset my password email never arrives Help,Customer Service Issue
What is the reason for the delay of the departure of VX from JFK this afternoon,Late Flight
is todays flight from Palm Springs Ca to JFK in NY Cancelled Flightled,Cancelled Flight
the CSS on your site is a right now please fix Site unusable,Customer Service Issue
Were on flight Vegas to Boston today checked in online but our bag count didnt register Can I fix that somehow,Lost Luggage
Hi Im trying to do checkin but the website is not working I tried different browsers and the problem continues,Customer Service Issue
the passenger in D Flt that assaulted me shouldnt have flown I trust hes banned Crew filed report to,Bad Flight
current bug on website shows select departure city when selecting destination city,Flight Booking Problems
luggage was severely dentedmissing wheel coming off baggage claim in SAN Luggage agent Miranda I think wasnt any help,Damaged Luggage
requested window seat and confirmed window but got stuck in middle seat Not a good way to treat silver member,Bad Flight
wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience,Bad Flight
there is something wrong with you website in Safari iPhone,Customer Service Issue
Boo for a not refunding a seat upgrade fee I did not want to buy in the first place,Customer Service Issue
moved my seat with no notice Better seat is cabin select not behind the row I selected DISAPPOINTED,Bad Flight
already contacted Central Baggage amp sent DM is charging me for the dress that was in the lost suitcase help,Lost Luggage
Is there anything going on with the website Ive been getting a lot of errors past minutes,Customer Service Issue
husband and I ordered three drinks via my screen and they never came Awesome,Flight Attendant Complaints
soooo are you guys going to leave the seatbelt light on all flight You can barely call this turbulence,Bad Flight
Funny story your website is broken you have missing javascript and stylesheets on the checkin process I dislike this,Flight Booking Problems
Im trying to check into my AM CT flight tmm on the desktop website and its not working some sort of caching bug SOS,Customer Service Issue
Do you guys know your checkin links from emails are broken,Customer Service Issue
lost my luggage days ago on flight VX from LAX to IAD amp Im calling every day no responsePlease give me back my stuff,Lost Luggage
The Flight Booking Problems section of your website seems to be broken on Chrome Might wanna look into that,Flight Booking Problems
the manage itinerary section of your website seems to be broken for me,Flight Booking Problems
cant check in your site looks like this every time it loads,Customer Service Issue
Other carriers are less than half price for a round trip fare I am stunned,Customer Service Issue
WTF is happening in PDX Late Flight March such that one way from SFO is,Flight Booking Problems
my luggage is gone Ive filed my paperwork promised a callemail Still no resolution or response from central luggage,Lost Luggage
I requested a mileage challenge for status several weeks ago online but havent heard back How do I get help with this,Flight Booking Problems
Just trying to book tickets to NYC and facing super fun broken styling Dont worry Ill keep trying,Flight Booking Problems
Applied for Status Match on Feb Got confirmation email same day Still no news though You guys have dropped ball Late Flightly,Customer Service Issue
trying to checkinbut looks like your site is down,Customer Service Issue
spending my birthday night with you DALDCA Get me home,Late Flight
Sent a couple messages to the email you provided but to no avail Will try again next year Cheers,Customer Service Issue
Its fine Already done with my purchase But you should try it Just go most of the way through then go back,Flight Booking Problems
not really the experience I was hoping I ws forced check in a small carry on w nothing but empty cabin space on board,Bad Flight
wjere is our luggage so slow at lax,Long Lines
I spoke with a representative that offered no solution I am a loyal customer who flies on as well,Customer Service Issue
I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,Flight Booking Problems
what happened to direct flights from SFOFLL Looking in May only see connecting help dontdothistome,Flight Booking Problems
on VX from JFK to LA dirty plane not up to your standards,Bad Flight
on flight VX headed to LA from JFK dirtiest VA plane I have ever been on Sad for a great airline,Bad Flight
your Avis rental continue button doesnt work on your website to book car Tried times on phone This sucks,Customer Service Issue
delayed to,Late Flight
currently in minute of being on hold with cust service Do I need to do anything to add a lap child to my reservation,Customer Service Issue
I submitted a status match request a while back and still havent heard Im flying on Monday Can you look accelerate,Customer Service Issue
Im pulling my hair out trying to book a flight with u Your site doesnt work on iPhone or iPaddont have a computer help,Flight Booking Problems
Can I get some help with a support ticket Its been days Incident Thank you,Customer Service Issue
I cannot even open my laptop in seat C and I paid a premium for this Let me out of here,Bad Flight
I am in seat C and I cannot even open my laptop and I paid extra for this seat,Bad Flight
FYI the infocom email address you say to contact in password reset emails doesnt exist Emails bounce,Customer Service Issue
Status match weeks have gone by and no newsFlt next week hope flt will count towards requirement Cust Svc no help,Customer Service Issue
your website sucks donkey dicks Just thought you should know All best,Customer Service Issue
Your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname apostrophefail,Customer Service Issue
When will VX use all LGA slots instead of today Adding AUS makes this less likely,Long Lines
sad to learn you no longer fly SFO gt PHL Hope it returns,Flight Booking Problems
kinda sucked my earphone jack didnt work on my flight They may want to look into that for future passengers,Bad Flight
Very poor experience First computer problem now seat malfunction Stuck Missing meeting in San Diego,Bad Flight
I tried that You offered to charge me an additional k for a new ticket or be stranded until Thurs st time last time,Cancelled Flight
Had to spend hours worrying that items in carryon would be brokenstolen since I couldnt carry them on plane or lock bag,Damaged Luggage
All of group E was told there was no more room in the bins when I got on the plane was room for at least bags in my row,Flight Attendant Complaints
Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate,Bad Flight
I have lots of flights to book and your site it not working Ive been on the phone waiting for over minutes,Customer Service Issue
Why is it taking years to fly home to Dallas Get your shit together,Late Flight
Man of steel flies to more cities thoughand with more frequency too,Customer Service Issue
started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me,Customer Service Issue
While other airlines werent Cancelled Flighting flights into BOS and helping their customers get home Virgin was saying Good luck,Cancelled Flight
Grouping Virgin in with the others now BOS weather has exposed their actual Cus Serv model Never Flight Booking Problems with Virgin again,Customer Service Issue
As one of the travelers affected by the Boston storm Im shocked at Virgins complete apathy toward their customers,Customer Service Issue
Umm so no reason as to why this is Is there someone different I should contact or contact me to get a definitive answer,Customer Service Issue
Trying to make the change in advance not just hours priortried it online earlier and it wanted in change fees,Flight Booking Problems
mood lighting on point Reclining my seat kickin up my feet,Bad Flight
my flight scheduled for pm departure still says on time but no plane at gate Any update on how long of a delay,Late Flight
my group got their Cancelled Flightlation fees waived but I cant because my ticket is booked for Your reps were no help either,Customer Service Issue
still no refund or word via DM Please resolve this issue as your Cancelled Flightled flight was useless to my assistants trip,Cancelled Flight
Delayed due to lack of crew and now delayed again because theres a long line for deicing Still need to improve service united,Late Flight
Gate agent hooked me up with alternate flights If you have a way to PREVENT the constant issues that would rock,Bad Flight
is the worst Nonrefundable First class tickets Oh because when you select GlobalFC their system auto selects economy wupgrade,Flight Booking Problems
So I can buy tix days before flight but cant transfer the tix Flawed security logic Flawed customer service,Customer Service Issue
I did start a claim but weeks is unrealistic am I really supposed to go that long with out a car seat for my childRidiculous,Customer Service Issue
if the car seat is lost should just reimburse me for a new one this is not a pair of shoes its a necessity for my child,Lost Luggage
beginning of Feb I called United they said they would send another voucher by mail Never got anything tiredofwaiting,Customer Service Issue
the internet is a great thing I am emailing executives in your company maybe they will respond to me in a timely manner,Customer Service Issue
I am trying to book awards for September and need flights on but they will not show even w many award seats availab,Customer Service Issue
I sure did I had to drive a total of hours to get my own bag Id like to explain that debacle but no one wants to talk to me,Customer Service Issue
See We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr After we boarded there was a defibrillator issue,Late Flight
why no preferred security line anymore My TSA precheck didnt pull on my partner flight Platinum spoiled,Long Lines
yes please I am newly married and trying to update my last name on a preexisting international flight It seems so easy but,Customer Service Issue
How does United refuse to reissue a lost voucher when their plane didnt take off due to mechanics badcustomerservice,Customer Service Issue
yes weve been with the agents for the last minutes One of the agents have been very rude but thankfully Ladan has been nice,Flight Attendant Complaints
iah to charlotte Baggage claim rep latrice h customerservice non existent Ignored customer then inappropriately touched customer,Flight Attendant Complaints
I would have loved to respond to your website until I saw the really long form In business the new seats are bad,Customer Service Issue
A refund and flight vouchers or another flight on a different airline at your expense for today hour drive is very inconvenient,Cancelled Flight
then why have I not received my call back its been daysits an infant car seat how am I supposed to go anywhere with my child,Lost Luggage
well sitting on the ground on time but waiting for a gateagain tiredofthis,Late Flight
No I need you guys to not over book planes Its not a concern Ill just travel with someone else moving forward,Flight Booking Problems
A measly ecertificate is not how you appreciate loyal customers after they wait hrs on the tarmac during UA unacceptable,Late Flight
Why cant I get a boarding pass for my Austrian Airlines codeshare flight Rebook incls a hour layover amp I am stuck outside sec,Flight Booking Problems
I received on other flights united truly breaks guitars unitedbreaksguitars wantmymoneyback,Damaged Luggage
just flew to TelAviv paid from a third suitcase which didnt even make it on the plane Besides for the impolite service,Lost Luggage
My bag is still in Colo Springs I am disabled and have to search an unfamiliar airport and look for my bag Not a good outcome,Lost Luggage
Shame that theres no flex to tickets transfer rules Even calling from Neurosurgery ICU isnt enough,Customer Service Issue
No Denver said they dont handle baggage that made it to Colo Springs They gave me an number to call No help there either,Customer Service Issue
you guys need some serious training in customer service Too many better options to put up with the way you guys handle ur mistakes,Customer Service Issue
once he found out we had a problem he avoided me like the plague Was told we cant find a supervisor,Customer Service Issue
ZCCU Cancelled Flight flight h in advance Need connect flight reschedule so the link isnt helping Help Gf waited months to see me,Cancelled Flight
in addition my first flight was delayed an hour and Im arriving at my destination hrs Late Flight,Late Flight
our travel booked thru United group dept Okc ticket agent less than willing to help with our connection in LAX,Flight Booking Problems
v upset with your disability services When I told one of your employees I was carrying medical equipment she was very rude,Flight Attendant Complaints
thnx for quick reply but dont think you can assist Our intl grp will be put to considerable inconvenience today,Customer Service Issue
WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card STARBUCKS CARD I HANDED OVER,Flight Booking Problems
as a k Im always hoping for improvement,Customer Service Issue
not yet I complained about the guy who checked my luggage in as he was throwing the bags around Unfortunate coincidence I hope,Damaged Luggage
OKC ticket agent Roger McLarrensp LESS than helpful with our Intl group travel problems Cant find a supervisor for help,Customer Service Issue
another fail for the United ticket agents in OKC LESS than helpful and could care less about our problems American here we come,Flight Booking Problems
I just sent an email to Customer Care telling them I may have to break up with you I sincerely hope they can help me,Customer Service Issue
silly Im flying delta today Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,Flight Attendant Complaints
What is your phone number I cant find who to call about a flight reservation,Flight Booking Problems
why am I to believe they will help when customer service couldnt Like I said I want a number to someone who can fix what you did,Customer Service Issue
they helped me at the baggage service desk Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR,Lost Luggage
Mobile boarding pass disappeared from phone while standing in line to board Second time this week Hmm,Customer Service Issue
Had to explain to a very over eager flight attendant trying to ask about my vision that my was not a guide dog,Flight Attendant Complaints
whats the point of asking for details about a servicedog when you book if your flight crew doesnt read them Continued,Flight Attendant Complaints
I tried but no one was available in bogota and everyone was rude in Houston I was stuck for hours because of you guys,Late Flight
worstunitedflightsever UA LAS to IAD mechanical problems again took off had to land for fix delayed again wtfodds,Bad Flight
Whats going on with UA outbound flight last thurs was delayed hrs How long will this delay be worstunitedflightsever,Late Flight
worstunitedflightsever UA IAD to LAS mechanical problems switched aircraft delayed hours,Late Flight
crashed trying to check in,Customer Service Issue
on to Logan boarding gong show due to lax carry on enforcement Bins full of coats no room for bags U need a better system,Long Lines
Blackmailed me into paying extra or having my return ticket nullified in San Francisco Airport Terrible service from rep scam,Customer Service Issue
disappointed that u didnt honor my credit given to me for ur mistakes Taking my business elsewhere out,Customer Service Issue
ua still waiting Supposed to depart,Late Flight
it was credit from my last trip that never came in the mail,Customer Service Issue
ok its now been months waiting to hear from airline I gave them quite a bit more than the days requested Terrible service,Customer Service Issue
does this process ever end Still waiting for the reply since months pathetic customerservice,Customer Service Issue
Whats going on with your website Im Flight Booking Problems three tickets today and Ive been booted off the system umpteen times,Flight Booking Problems
how do I get my account number if your website says email is unavailable,Customer Service Issue
I received bag last night I am still missing the other one,Lost Luggage
youll need to upgrade the seats too even in economy plus its like sitting on a concrete bench,Bad Flight
nd flight also delayed no pilots But they boarded is so we can just sit here scheduling,Late Flight
but its hard to stay upset at someone when they at least TRY to show remorse,Bad Flight
By the way a simple apology goes a long way even if its a hollow one Its obvious that you dont care about me or my wellbeing,Customer Service Issue
This isnt a one time thing either Its a shocking pattern of repeated neglect and disrespect,Customer Service Issue
Its an incredibly easy fix but you would rather stay in your comfort zone while I get forced out of mine,Customer Service Issue
ours in July You have ZERO excuses for this You have an outofdate system that causes problems like this,Flight Attendant Complaints
Not sure what you are talking about She is going on nonstop flights SNA to SFO and then SFO to EWR,Customer Service Issue
it will be because Im moving to because of talk no service,Customer Service Issue
I asked a legitimate question about systemwide vs localized problems and got back an unreLate Flightd copypaste You can do better,Customer Service Issue
what time Who can I call I need my skis I will go to the airport and get them No more faith in United,Lost Luggage
Yeah sorry but theres always a problem with United And you have an international reputation for having problems,Late Flight
so youre telling me there is no number to call after being left in an airport because of a negligent pilot and staff,Flight Attendant Complaints
Could this email be resent as it doesnt appear to have arrived,Customer Service Issue
you have to follow me in order for me to DMcome on now,Customer Service Issue
United coupon to make up for broken entertainment system on a hour flight seriously Ridiculousness learncustomerservice,Bad Flight
So they didnt drop my bag overnight amp now Im leaving for a week This is why you were supposed to hold on to the bag,Lost Luggage
I did DM the details but still no response I have to book today,Customer Service Issue
not able to DM you my confirmation number,Customer Service Issue
Ive sent the message let me know if you got it Im not very twitterliterate Also is he REALLY going to be stuck for hrs,Late Flight
very unhappy at no response to complaint emailed on nd Feb ref Awful customer service,Customer Service Issue
we were not given the option of using our United TravelBank in a recent Flight Booking Problems Any help in using or recouping these funds Thanks,Flight Booking Problems
common keep your paper work ready and dont delay our flightsand meetings,Late Flight
yep thats correct I got an email at am that the flight was Cancelled Flightled doesnt matter now flight into atl is delayed thx,Late Flight
k and had problem getting out of FLL to IAH sent DM to you about making my connection please let me know,Late Flight
Im grounded in Montreal with ua I am missing my connection ua to St Louis Can you helpDo you have a private jet for me,Cancelled Flight
are the ones who make it difficult for me,Flight Attendant Complaints
Im not a child Im someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes You,Bad Flight
how does it get Cancelled Flightled hours before take off,Cancelled Flight
So what does someone with severe anxiety do when the one person who can help him isnt next to him,Bad Flight
Luckily I made my flights this time but was so disappointed with the lack of communication,Customer Service Issue
checking to see why flight atlord got Cancelled Flighted,Cancelled Flight
service so far has been horrid We wanted to end the trip on a high note Guess thats not an option,Customer Service Issue
Booked a flight home over months ago and requested seats together for my fiance and I We got middle seats UNACCEPTABLE The,Bad Flight
Why do I have to pay for wifi with an international business ticket pennypincher,Customer Service Issue
ok To top things off youve lost my luggage Could you get ANY worse UnitedAirlines,Lost Luggage
AND my luggage has been broken youcouldntmakethis up brokenwheel,Damaged Luggage
flight delayedno one remembered to turn the heat on flight leaving ORDseriously,Late Flight
to speak to a real person to get this resolved politely and efficiently,Customer Service Issue
I hadnt filed a refund claim as I was told there was no charge by your DM This is disputed by my bank hence why I would like,Customer Service Issue
did bags make it on the flight out of iad second day without clothes is pretty inconvenient Were pretty curious UnitedAirlines,Lost Luggage
hence why Ive been asking for the customer service phone number so I can speak to a real person to get this sorted out,Customer Service Issue
did our bags leave Washington yet That would be convenient seeing as we left there a day ago UnitedAirlines lostluggage,Lost Luggage
according to your DMs Im not owed a refund please may I be provided with a contact number before I go to my bank to file claim,Customer Service Issue
about hours ago I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere,Lost Luggage
pls properly train your agents Requested to speak to k customer service amp was transferred to a dead end Not even open at this hr,Customer Service Issue
Thanks for remembering to load my bag onto my connecting flight Oh wait you forgot Iceland should be fun with no clothes,Lost Luggage
customer service is atrocious You have disrupted my travel plans you have lost my luggage and it is impossible to TALK TO A HUMAN,Customer Service Issue
terminal at MIA should have food open before am esp when there are flights at am Two hours early like recommended Cant eat,Customer Service Issue
it was UA flight Now Im currently stuck in Portland because I missed my ride because of the hour delay GetMartyHome,Late Flight
has not responded to my various requests for contact numbers does anyone know the UK customer service number for UnitedAirlines,Customer Service Issue
how we looking on getting those bags to Lusaka,Lost Luggage
Could you update me on the suitcase please The online and phone tracking told me nothing I was told Id have it back yesterday,Lost Luggage
completed form but doubt its any use UA doesnt care day vacation will now be Sure UA wont feel responsibility for that,Cancelled Flight
nope they told us it was time for them to go home and to sleep at the airport Even though they assured us we would get a room,Flight Attendant Complaints
back for the expensive holiday he worked all year to pay for that you RUINED We want compensation amp his original case back,Lost Luggage
thanks United I understand that But he would actually like his own bag back What have you done with it He also wants the money,Lost Luggage
frankly worse customer service ever Problems will happen how you deal defines a company Never again United,Customer Service Issue
Its still a valid flight Just seems strange to delay for Late Flight inbound crew hours from now when the plane is already here,Late Flight
Thanks for the lack of help and the canned response from the K desk,Customer Service Issue
Its too bad UA has had another unforeseeable operational issue on my return flight,Bad Flight
if I pay you and for my luggage to be delivered when I arrive Why should I have to wait additional days for its delivery,Lost Luggage
so hotels for people but feel like we are being held hostage because someone has our boarding passes so we cant leave FAIL,Cancelled Flight
Outbound bags lbs bags Returning home bag lbs What is your logic And WHY Am I writing to a Machine Human HELP required,Customer Service Issue
We dont like to hear you had a poor experience Please share details wour Customer Care team,Customer Service Issue
no Cancelled Flightn just left us to fend for ourselves when flt came in Late Flight Getting runaround for hrs Each employee blaming previous,Late Flight
okay asem Find our luggage,Lost Luggage
The agent that met us at the gate said any issues wdelays on UA would have to be taken up online,Customer Service Issue
But they are not lady one phone says its in tel aviv Tel Aviv united says its in Newark No one knows and I have nothing,Lost Luggage
yes but still now answers Many have not had their luggage for days Unacceptable,Lost Luggage
what is that going to do for you Nothing just like you always do,Customer Service Issue
people getting pretty tired about no action on solving the problem plus missing a day of vacation and skiing,Flight Attendant Complaints
The bright side would be keeping the promise that was made to me Hope youre having a good night Thanks,Customer Service Issue
I take back the comment about your team here working hard to help us A so far no solution for a hotel or food or anything fail,Customer Service Issue
on arriving two hours Late Flight into CLT Now sitting on the tarmac while they move a plane from the gate Unhappy customer,Late Flight
Thanks might want to fix this line Our Customer Care team is currently responding to most inquiries within business days,Customer Service Issue
its frustrating as a frequent flyer loyal since Continental Upgrade equals paying times or more on top of purchase ticket,Flight Booking Problems
at its worse Cant figure how to pack plane screws up connectns then claims no hotl rooms in San Fran for stranded pax Way to go,Customer Service Issue
passengers after a hour delayed flight left with no hotel at the end of the night hou airport Wtf,Late Flight
Hey why does the flight from IAH to POS leave so Late Flight and the one back to IAH so early I rather get to POS earlier,Late Flight
Lost bag process is broken Agent promised theyd call amp hold my bag when found Now theyre waking me at am w delivery fail,Lost Luggage
the people at the counter have been very helpful As you can see nobody is there Flight to Austin and still sitting here,Cancelled Flight
We regret to hear this Please let us know if you need assistance KN I was finally able to secure my seat Thx,Customer Service Issue
good to know you will open the closed doors for premier passengers after safety briefings on delayed flights annoyed,Late Flight
yea get me to phoenix already Delays all day with you people Its bullshit,Late Flight
If its any consolation your staff was stellar Just not the hour delays I encountered with every one of my flights,Late Flight
thats unfortunate The was an xmas gift and it looks like a razor ripped right through the front pocket in the picture,Damaged Luggage
Lost bags Cancelled Flightled flights Delhi call centers Poor United staff spread thin and stressed You name it,Cancelled Flight
Yes Doesnt make that mistake any less absurd Doesnt change the fact that Im very inconveniently missing my luggage tonight,Lost Luggage
In ORD waited min after crew members left before gate items came Flight attendant sarcastically said good luck and walked away,Flight Attendant Complaints
we needed them here asap Will they make it on todays flight,Lost Luggage
agent split up my reservation Now cant Cancelled Flight and refund credit for wks Why,Customer Service Issue
why would they make me share a room,Flight Attendant Complaints
tried calling too but w min phn wait means wed miss options anyway,Customer Service Issue
can you ask your guys with flight to BWI to wait for us to get off a delayed flight from San Diego Pretty please,Late Flight
were still waiting to find out your rep is working hard most upset about having to wait to tomorrow pm to get to mammoth,Customer Service Issue
for an early flt I think a call is appropriate Yes reviewed and nada avail until next day Expect full refund,Cancelled Flight
again I ask who can I call to get this fixed Tweeting me BS questions to stall only makes things worse Phone number please,Customer Service Issue
Yo yo yo stuck on the tarmac for over hours at Going to miss my ride at help please HelpImStuck United,Late Flight
its highly unprofessional for you to overbook a flight by seats ampfeel that I should rearrange my schedule for your mismanagement,Customer Service Issue
well considering every agent before claimed they were unable to help with everything else why waste more time to hear call corp,Flight Attendant Complaints
Ice which I totally understand But when a large number of us are facing hours of time and overnight Cancelled Flightations it seems like,Cancelled Flight
flt Cancelled Flightled and I get email AM What happened to courtesy phn call Had to book diff airline amp city,Cancelled Flight
tag numbers lets find these bags,Lost Luggage
better train your support staff with appropriate decorum consider revisiting your terrible provide a death certificate policy,Customer Service Issue
I have no way of making phones calls Need to handle via Twitteremailweb Thank you,Customer Service Issue
thanks for effing up our holidays were missing a full day of skiing due to your baggage teams incompetence at,Lost Luggage
agent helps the person in front of me Finishes up with them and then walks away The guy behind me is as shocked as I am,Customer Service Issue
Connection at ORD was on the exact same plane again Checked carryon was apparently taken off amp left in Chicago Pretty ridiculous,Lost Luggage
Not encouraged that Ill have my CPAP tonight,Lost Luggage
Yes Did file a claim as soon as the carousel stopped without my bag on it Got an email that its found but not sched for delivery,Lost Luggage
Delay DENCLE because they have to manually enter baggage tags Really Worst cust service day for this ker friendlyskies,Late Flight
Why tell us flight is delayed then tell us its on time again with min to spare Dont say its delayed unless youre sure,Flight Attendant Complaints
yes in Lusaka Zambia My guess is the bags never made the plane at IAD,Lost Luggage
Late Flight to Denver Late Flight to Newarklets not even get into the disaster that was checking bags Unacceptable,Late Flight
